"","HomeAway","Opp","PTS","Season","Rest","PTS_avg3","PTS_sd3","PTS_avg5","PTS_sd5","PTS_avg10","PTS_sd10","PTS_career_avg","PTS_career_sd","FG_avg3","FG_sd3","FG_avg5","FG_sd5","FG_avg10","FG_sd10","FG_career_avg","FG_career_sd","FGA_avg3","FGA_sd3","FGA_avg5","FGA_sd5","FGA_avg10","FGA_sd10","FGA_career_avg","FGA_career_sd","FG._avg3","FG._sd3","FG._avg5","FG._sd5","FG._avg10","FG._sd10","FG._career_avg","FG._career_sd","X3P_avg3","X3P_sd3","X3P_avg5","X3P_sd5","X3P_avg10","X3P_sd10","X3P_career_avg","X3P_career_sd","X3PA_avg3","X3PA_sd3","X3PA_avg5","X3PA_sd5","X3PA_avg10","X3PA_sd10","X3PA_career_avg","X3PA_career_sd","X3P._avg3","X3P._sd3","X3P._avg5","X3P._sd5","X3P._avg10","X3P._sd10","X3P._career_avg","X3P._career_sd","FT_avg3","FT_sd3","FT_avg5","FT_sd5","FT_avg10","FT_sd10","FT_career_avg","FT_career_sd","FTA_avg3","FTA_sd3","FTA_avg5","FTA_sd5","FTA_avg10","FTA_sd10","FTA_career_avg","FTA_career_sd","FT._avg3","FT._sd3","FT._avg5","FT._sd5","FT._avg10","FT._sd10","FT._career_avg","FT._career_sd","RB_avg3","RB_sd3","RB_avg5","RB_sd5","RB_avg10","RB_sd10","RB_career_avg","RB_career_sd","AST_avg3","AST_sd3","AST_avg5","AST_sd5","AST_avg10","AST_sd10","AST_career_avg","AST_career_sd","STL_avg3","STL_sd3","STL_avg5","STL_sd5","STL_avg10","STL_sd10","STL_career_avg","STL_career_sd","BLK_avg3","BLK_sd3","BLK_avg5","BLK_sd5","BLK_avg10","BLK_sd10","BLK_career_avg","BLK_career_sd","TOV_avg3","TOV_sd3","TOV_avg5","TOV_sd5","TOV_avg10","TOV_sd10","TOV_career_avg","TOV_career_sd","PF_avg3","PF_sd3","PF_avg5","PF_sd5","PF_avg10","PF_sd10","PF_career_avg","PF_career_sd","GMS_avg3","GMS_sd3","GMS_avg5","GMS_sd5","GMS_avg10","GMS_sd10","GMS_career_avg","GMS_career_sd","PM_avg3","PM_sd3","PM_avg5","PM_sd5","PM_avg10","PM_sd10","PM_career_avg","PM_career_sd","MP_avg3","MP_sd3","MP_avg5","MP_sd5","MP_avg10","MP_sd10","MP_career_avg","MP_career_sd"
"4",1,1,21,2019,2,18,11.3137084989848,18,11.3137084989848,18,11.3137084989848,18,11.3137084989848,6.5,2.12132034355964,6.5,2.12132034355964,6.5,2.12132034355964,6.5,2.12132034355964,16,0,16,0,16,0,16,0,0.4065,0.132228968081884,0.4065,0.132228968081884,0.4065,0.132228968081884,0.4065,0.132228968081884,2,2.82842712474619,2,2.82842712474619,2,2.82842712474619,2,2.82842712474619,7,2.82842712474619,7,2.82842712474619,7,2.82842712474619,7,2.82842712474619,0.222,0.313955410846827,0.222,0.313955410846827,0.222,0.313955410846827,0.222,0.313955410846827,3,4.24264068711928,3,4.24264068711928,3,4.24264068711928,3,4.24264068711928,5.5,4.94974746830583,5.5,4.94974746830583,5.5,4.94974746830583,5.5,4.94974746830583,0.3335,0.471640223051427,0.3335,0.471640223051427,0.3335,0.471640223051427,0.3335,0.471640223051427,7,1.4142135623731,7,1.4142135623731,7,1.4142135623731,7,1.4142135623731,3.5,0.707106781186548,3.5,0.707106781186548,3.5,0.707106781186548,3.5,0.707106781186548,1,1.4142135623731,1,1.4142135623731,1,1.4142135623731,1,1.4142135623731,0.5,0.707106781186548,0.5,0.707106781186548,0.5,0.707106781186548,0.5,0.707106781186548,5,1.4142135623731,5,1.4142135623731,5,1.4142135623731,5,1.4142135623731,3,0,3,0,3,0,3,0,8.7,11.1722871427475,8.7,11.1722871427475,8.7,11.1722871427475,8.7,11.1722871427475,-6,16.9705627484771,-6,16.9705627484771,-6,16.9705627484771,-6,16.9705627484771,2040.5,188.797510576808,2040.5,188.797510576808,2040.5,188.797510576808,2040.5,188.797510576808
"5",1,28,22,2019,2,18.3333333333333,8.02080627701064,18.3333333333333,8.02080627701064,18.3333333333333,8.02080627701064,18.3333333333333,8.02080627701064,6.66666666666667,1.52752523165195,6.66666666666667,1.52752523165195,6.66666666666667,1.52752523165195,6.66666666666667,1.52752523165195,15.3333333333333,1.15470053837925,15.3333333333333,1.15470053837925,15.3333333333333,1.15470053837925,15.3333333333333,1.15470053837925,0.437666666666667,0.10796450033846,0.437666666666667,0.10796450033846,0.437666666666667,0.10796450033846,0.437666666666667,0.10796450033846,2.33333333333333,2.08166599946613,2.33333333333333,2.08166599946613,2.33333333333333,2.08166599946613,2.33333333333333,2.08166599946613,7.33333333333333,2.08166599946613,7.33333333333333,2.08166599946613,7.33333333333333,2.08166599946613,7.33333333333333,2.08166599946613,0.273,0.238928859705143,0.273,0.238928859705143,0.273,0.238928859705143,0.273,0.238928859705143,2.66666666666667,3.05505046330389,2.66666666666667,3.05505046330389,2.66666666666667,3.05505046330389,2.66666666666667,3.05505046330389,4.33333333333333,4.04145188432738,4.33333333333333,4.04145188432738,4.33333333333333,4.04145188432738,4.33333333333333,4.04145188432738,0.555666666666667,0.509211481933915,0.555666666666667,0.509211481933915,0.555666666666667,0.509211481933915,0.555666666666667,0.509211481933915,5.66666666666667,2.51661147842358,5.66666666666667,2.51661147842358,5.66666666666667,2.51661147842358,5.66666666666667,2.51661147842358,4.33333333333333,1.52752523165195,4.33333333333333,1.52752523165195,4.33333333333333,1.52752523165195,4.33333333333333,1.52752523165195,1,1,1,1,1,1,1,1,0.333333333333333,0.577350269189626,0.333333333333333,0.577350269189626,0.333333333333333,0.577350269189626,0.333333333333333,0.577350269189626,4.33333333333333,1.52752523165195,4.33333333333333,1.52752523165195,4.33333333333333,1.52752523165195,4.33333333333333,1.52752523165195,3,0,3,0,3,0,3,0,10.4333333333333,8.45123265171024,10.4333333333333,8.45123265171024,10.4333333333333,8.45123265171024,10.4333333333333,8.45123265171024,-2.33333333333333,13.5769412362775,-2.33333333333333,13.5769412362775,-2.33333333333333,13.5769412362775,-2.33333333333333,13.5769412362775,2076.33333333333,147.222054507242,2076.33333333333,147.222054507242,2076.33333333333,147.222054507242,2076.33333333333,147.222054507242
"6",0,29,14,2019,2,22,3.60555127546399,19,6.68331255192114,19,6.68331255192114,19,6.68331255192114,7.33333333333333,0.577350269189626,6.75,1.25830573921179,6.75,1.25830573921179,6.75,1.25830573921179,16,2,16,1.63299316185545,16,1.63299316185545,16,1.63299316185545,0.463,0.0640858798800485,0.4255,0.0914494395827552,0.4255,0.0914494395827552,0.4255,0.0914494395827552,3,1,2.25,1.70782512765993,2.25,1.70782512765993,2.25,1.70782512765993,8.66666666666667,0.577350269189626,7.75,1.89296944860009,7.75,1.89296944860009,7.75,1.89296944860009,0.347,0.113617780298684,0.26025,0.19674412316509,0.26025,0.19674412316509,0.26025,0.19674412316509,4.33333333333333,2.08166599946613,3.25,2.75378527364305,3.25,2.75378527364305,3.25,2.75378527364305,6.33333333333333,3.78593889720018,5.25,3.77491721763537,5.25,3.77491721763537,5.25,3.77491721763537,0.764,0.205458024910199,0.573,0.417212176236504,0.573,0.417212176236504,0.573,0.417212176236504,6,3,6.5,2.64575131106459,6.5,2.64575131106459,6.5,2.64575131106459,3.66666666666667,2.08166599946613,3.75,1.70782512765993,3.75,1.70782512765993,3.75,1.70782512765993,1.33333333333333,0.577350269189626,1,0.816496580927726,1,0.816496580927726,1,0.816496580927726,0.666666666666667,0.577350269189626,0.5,0.577350269189626,0.5,0.577350269189626,0.5,0.577350269189626,4,1.73205080756888,4,1.4142135623731,4,1.4142135623731,4,1.4142135623731,2.66666666666667,0.577350269189626,2.75,0.5,2.75,0.5,2.75,0.5,14.1666666666667,2.31156512634478,10.825,6.94472221666689,10.825,6.94472221666689,10.825,6.94472221666689,-0.333333333333333,10.1159939369957,-4.75,12.0933866224478,-4.75,12.0933866224478,-4.75,12.0933866224478,2124.33333333333,64.8254065419827,2070,120.871832947135,2070,120.871832947135,2070,120.871832947135
"7",1,27,31,2019,1,20.6666666666667,1.52752523165195,19.6,5.94138031100518,19.6,5.94138031100518,19.6,5.94138031100518,7,0,6.8,1.09544511501033,6.8,1.09544511501033,6.8,1.09544511501033,15.3333333333333,2.3094010767585,15.6,1.67332005306815,15.6,1.67332005306815,15.6,1.67332005306815,0.463,0.0640858798800485,0.4404,0.0859203119174971,0.4404,0.0859203119174971,0.4404,0.0859203119174971,3,1,2.6,1.67332005306815,2.6,1.67332005306815,2.6,1.67332005306815,7.66666666666667,1.52752523165195,7.4,1.8165902124585,7.4,1.8165902124585,7.4,1.8165902124585,0.421333333333333,0.226089215429072,0.3416,0.249239443106423,0.3416,0.249239443106423,0.3416,0.249239443106423,3.66666666666667,1.52752523165195,3.4,2.40831891575846,3.4,2.40831891575846,3.4,2.40831891575846,4.66666666666667,3.05505046330389,5,3.3166247903554,5,3.3166247903554,5,3.3166247903554,0.875,0.21650635094611,0.6584,0.408675054291304,0.6584,0.408675054291304,0.6584,0.408675054291304,5.66666666666667,3.05505046330389,6.2,2.38746727726266,6.2,2.38746727726266,6.2,2.38746727726266,4,2,3.8,1.48323969741913,3.8,1.48323969741913,3.8,1.48323969741913,0.666666666666667,0.577350269189626,0.8,0.836660026534076,0.8,0.836660026534076,0.8,0.836660026534076,0.333333333333333,0.577350269189626,0.4,0.547722557505166,0.4,0.547722557505166,0.4,0.547722557505166,3,0,3.8,1.30384048104053,3.8,1.30384048104053,3.8,1.30384048104053,2,1,2.4,0.894427190999916,2.4,0.894427190999916,2.4,0.894427190999916,14.0666666666667,2.1548395145192,11.92,6.49361224589211,11.92,6.49361224589211,11.92,6.49361224589211,-2.33333333333333,8.73689494805411,-3.8,10.686440005914,-3.8,10.686440005914,-3.8,10.686440005914,2102.66666666667,48.8091521472493,2077.8,106.121157174241,2077.8,106.121157174241,2077.8,106.121157174241
"8",1,14,14,2019,2,19,4.35889894354067,20.4,4.39317652729776,18.6666666666667,5.7850381733111,18.6666666666667,5.7850381733111,6.33333333333333,1.15470053837925,6.8,1.09544511501033,6.5,1.22474487139159,6.5,1.22474487139159,15,2.64575131106459,15,2,15.1666666666667,1.83484785926972,15.1666666666667,1.83484785926972,0.424666666666667,0.0652712289859271,0.4548,0.0619088038973456,0.431166666666667,0.080108468133317,0.431166666666667,0.080108468133317,2.66666666666667,1.15470053837925,3,1,2.5,1.51657508881031,2.5,1.51657508881031,7,1.73205080756888,7.6,1.51657508881031,7.16666666666667,1.72240142436851,7.16666666666667,1.72240142436851,0.407333333333333,0.231625415991711,0.4082,0.165594987846855,0.340166666666667,0.222954180644066,0.340166666666667,0.222954180644066,3.66666666666667,1.52752523165195,3.8,1.78885438199983,3.16666666666667,2.2286019533929,3.16666666666667,2.2286019533929,4.66666666666667,3.05505046330389,5,3.3166247903554,4.5,3.20936130717624,4.5,3.20936130717624,0.875,0.21650635094611,0.8584,0.194461564325704,0.715333333333333,0.391229685308601,0.715333333333333,0.391229685308601,6.66666666666667,2.08166599946613,5.8,2.16794833886788,6.16666666666667,2.13697605664328,6.16666666666667,2.13697605664328,3.66666666666667,1.52752523165195,4,1.58113883008419,4,1.4142135623731,4,1.4142135623731,0.666666666666667,0.577350269189626,1,0.707106781186548,0.833333333333333,0.752772652709081,0.833333333333333,0.752772652709081,0.333333333333333,0.577350269189626,0.4,0.547722557505166,0.333333333333333,0.516397779494322,0.333333333333333,0.516397779494322,3.66666666666667,1.15470053837925,4,1.4142135623731,4,1.26491106406735,4,1.26491106406735,1.33333333333333,0.577350269189626,2,1,2.16666666666667,0.983192080250175,2.16666666666667,0.983192080250175,12.1666666666667,4.05257120027932,13.4,3.46049129459966,11.3,6.00333240792145,11.3,6.00333240792145,-2.66666666666667,8.32666399786453,0.6,7.4027022093287,-2.5,10.0747208398049,-2.5,10.0747208398049,2124.33333333333,82.0812605491249,2139,62.1007246334534,2100.33333333333,109.799210683259,2100.33333333333,109.799210683259
"9",0,20,18,2019,2,22.3333333333333,8.50490054811538,21.4,6.18869937870632,20.4285714285714,7.04407890494191,20.4285714285714,7.04407890494191,7.66666666666667,3.05505046330389,7.4,2.19089023002066,7.14285714285714,2.03540097839643,7.14285714285714,2.03540097839643,15,2.64575131106459,15.4,2.40831891575846,15.5714285714286,1.98805959477601,15.5714285714286,1.98805959477601,0.498666666666667,0.113005899551012,0.477,0.0938376257159142,0.456857142857143,0.0998389178818036,0.456857142857143,0.0998389178818036,3.33333333333333,1.15470053837925,3,1,2.71428571428571,1.49602648308619,2.71428571428571,1.49602648308619,6,0,7,1.4142135623731,7,1.63299316185545,7,1.63299316185545,0.555666666666667,0.192834989909335,0.4528,0.203369614249524,0.386857142857143,0.2380836187641,0.386857142857143,0.2380836187641,3.66666666666667,1.52752523165195,3.6,1.51657508881031,3.42857142857143,2.14919697074224,3.42857142857143,2.14919697074224,4,2,4.4,2.60768096208106,4.71428571428571,2.98408476836063,4.71428571428571,2.98408476836063,0.944333333333333,0.0964174949546675,0.8916,0.16565113944673,0.732142857142857,0.359900647666097,0.732142857142857,0.359900647666097,6.33333333333333,1.52752523165195,6.2,2.38746727726266,6.42857142857143,2.07019667802706,6.42857142857143,2.07019667802706,4.33333333333333,0.577350269189626,4.2,1.48323969741913,4,1.29099444873581,4,1.29099444873581,0.666666666666667,0.577350269189626,0.8,0.447213595499958,0.857142857142857,0.690065559342354,0.857142857142857,0.690065559342354,0.333333333333333,0.577350269189626,0.4,0.547722557505166,0.428571428571429,0.534522483824849,0.428571428571429,0.534522483824849,4.66666666666667,1.52752523165195,4,1.4142135623731,4.28571428571429,1.38013111868471,4.28571428571429,1.38013111868471,0.666666666666667,0.577350269189626,1.4,1.14017542509914,1.85714285714286,1.21498579258791,1.85714285714286,1.21498579258791,16.2,7.95047168412038,14.9,5.93506529028957,13.1285714285714,7.31020161274965,13.1285714285714,7.31020161274965,3,2.64575131106459,0.4,7.23187389270582,-1.42857142857143,9.62387903181704,-1.42857142857143,9.62387903181704,2239,144.761873433581,2183.2,132.258081038551,2142.42857142857,149.835306412137,2142.42857142857,149.835306412137
"10",0,30,23,2019,4,19.6666666666667,9.81495457622364,20.4,7.02139587261678,19.625,6.90626010018654,19.625,6.90626010018654,7,3.46410161513775,7,2.44948974278318,6.875,2.03100960115899,6.875,2.03100960115899,14,3.60555127546399,14.8,3.11448230047949,15,2.44948974278318,15,2.44948974278318,0.483666666666667,0.115695001332527,0.468,0.0932362590412121,0.456625,0.0924352089690009,0.456625,0.0924352089690009,3,1,3,1,2.75,1.38873014965883,2.75,1.38873014965883,6,0,6.6,1.34164078649987,6.875,1.5526475085203,6.875,1.5526475085203,0.5,0.167,0.4778,0.199052003255431,0.401,0.224022958007178,0.401,0.224022958007178,2.66666666666667,2.08166599946613,3.4,1.8165902124585,3.125,2.16712449375401,3.125,2.16712449375401,3.33333333333333,2.3094010767585,4.4,2.60768096208106,4.375,2.92464894108189,4.375,2.92464894108189,0.777666666666667,0.254551239111762,0.7916,0.224366441340946,0.703125,0.343162784154359,0.703125,0.343162784154359,6.33333333333333,1.52752523165195,6.6,1.8165902124585,6.25,1.98206241793023,6.25,1.98206241793023,5.33333333333333,1.52752523165195,4.4,1.8165902124585,4.375,1.59798980865694,4.375,1.59798980865694,1,0,0.8,0.447213595499958,0.875,0.640869944461656,0.875,0.640869944461656,0.333333333333333,0.577350269189626,0.4,0.547722557505166,0.375,0.517549169506766,0.375,0.517549169506766,4.33333333333333,2.08166599946613,3.8,1.6431676725155,4,1.51185789203691,4,1.51185789203691,1,1,1.2,0.836660026534076,1.875,1.1259916264596,1.875,1.1259916264596,15.0666666666667,8.16843518266096,14.7,5.9937467413964,13.1,6.76841403664319,13.1,6.76841403664319,-1.33333333333333,10.1159939369957,-3.2,8.70057469366248,-2.875,9.80433577556379,-2.875,9.80433577556379,2098.66666666667,367.105343645844,2091.2,260.5920182968,2085.625,212.265290548004,2085.625,212.265290548004
"11",1,29,24,2019,1,21,8.88819441731559,19.8,7.08519583356734,19.4444444444444,6.48288344625891,19.4444444444444,6.48288344625891,8,3,7.2,2.48997991959775,7,1.93649167310371,7,1.93649167310371,14.6666666666667,3.51188458428425,14.2,2.58843582110896,15,2.29128784747792,15,2.29128784747792,0.533,0.078,0.4968,0.084570680498622,0.465111111111111,0.0901352378990099,0.465111111111111,0.0901352378990099,3,1,3,1,2.66666666666667,1.3228756555323,2.66666666666667,1.3228756555323,6,0,6,0,6.77777777777778,1.48136573621926,6.77777777777778,1.48136573621926,0.5,0.167,0.5,0.167,0.393444444444444,0.210776606334237,0.393444444444444,0.210776606334237,2,2.64575131106459,2.4,2.07364413533277,2.77777777777778,2.27913238852956,2.77777777777778,2.27913238852956,3,2.64575131106459,3,2,4,2.95803989154981,4,2.95803989154981,0.444333333333333,0.419280733319972,0.6666,0.424885631670453,0.625,0.397457230403474,0.625,0.397457230403474,7.33333333333333,2.08166599946613,6.6,1.8165902124585,6.55555555555556,2.06827894099848,6.55555555555556,2.06827894099848,5.66666666666667,1.52752523165195,5.2,1.30384048104053,4.55555555555556,1.58989866902824,4.55555555555556,1.58989866902824,1,0,0.8,0.447213595499958,0.888888888888889,0.600925212577332,0.888888888888889,0.600925212577332,0.333333333333333,0.577350269189626,0.2,0.447213595499958,0.333333333333333,0.5,0.333333333333333,0.5,4,2,4,1.58113883008419,4,1.4142135623731,4,1.4142135623731,1.66666666666667,1.52752523165195,1.4,1.14017542509914,2,1.11803398874989,2,1.11803398874989,16.9333333333333,6.22280751215505,15.06,5.8432011774369,13.1777777777778,6.33556978056784,13.1777777777778,6.33556978056784,-6,9.64365076099295,-2.8,8.22800097228968,-3.66666666666667,9.47364766074821,-3.66666666666667,9.47364766074821,2060.33333333333,355.001877929305,2100.6,259.625306932895,2087,198.598841889876,2087,198.598841889876
"12",0,21,22,2019,3,18.3333333333333,4.50924975282289,20,7.17635004720366,19.8,6.21467796609142,19.8,6.21467796609142,7.33333333333333,2.08166599946613,7.6,2.60768096208106,7.2,1.93218356615859,7.2,1.93218356615859,14,2.64575131106459,14.6,2.70185121722126,15.1,2.18326971917504,15.1,2.18326971917504,0.517,0.0557494394590654,0.5094,0.0897039575492631,0.4749,0.0904426767504024,0.4749,0.0904426767504024,2.33333333333333,0.577350269189626,2.6,0.894427190999916,2.6,1.26491106406735,2.6,1.26491106406735,6.33333333333333,0.577350269189626,6.2,0.447213595499958,6.8,1.3984117975602,6.8,1.3984117975602,0.373,0.112467773161915,0.4238,0.158454094298633,0.3827,0.201605803487896,0.3827,0.201605803487896,1.33333333333333,1.52752523165195,2.2,1.92353840616713,2.8,2.14993539954628,2.8,2.14993539954628,2,1,2.8,1.92353840616713,3.9,2.80673792466945,3.9,2.80673792466945,0.5,0.5,0.6666,0.424885631670453,0.6625,0.393042335859355,0.6625,0.393042335859355,7,2,7,1.58113883008419,6.6,1.95505043981536,6.6,1.95505043981536,5.33333333333333,2.08166599946613,5,1.58113883008419,4.4,1.57762127549323,4.4,1.57762127549323,1,0,1,0,0.9,0.567646212197547,0.9,0.567646212197547,0,0,0.2,0.447213595499958,0.3,0.483045891539648,0.3,0.483045891539648,3.66666666666667,1.52752523165195,4.4,1.51657508881031,4.1,1.3703203194063,4.1,1.3703203194063,2.33333333333333,0.577350269189626,1.6,1.14017542509914,2,1.05409255338946,2,1.05409255338946,13.9666666666667,1.15902257671425,14.84,5.80542849409068,13.38,6.00736584905934,13.38,6.00736584905934,-4,13.076696830622,-0.6,10.3585713300628,-2.2,10.0642381176564,-2.2,10.0642381176564,1927.33333333333,213.451009211325,2078,263.599127464413,2077.9,189.439201621816,2077.9,189.439201621816
"13",1,4,11,2019,2,21.6666666666667,3.21455025366432,22,6.44204936336256,21.2,5.26624470883507,20.1818181818182,6.03022689155527,8,1,8,2.23606797749979,7.4,1.7763883459299,7.18181818181818,1.83402190925746,15,1,14.8,2.58843582110896,14.9,2.18326971917504,15,2.0976176963403,0.532,0.0315119025131774,0.5324,0.0594878138781381,0.4936,0.0703486555190171,0.477181818181818,0.0861345670237195,2.33333333333333,0.577350269189626,2.8,0.836660026534076,2.9,0.875595035770913,2.63636363636364,1.20604537831105,5.66666666666667,1.52752523165195,5.8,1.09544511501033,6.7,1.56702123647242,6.54545454545455,1.57249078621379,0.456333333333333,0.255406212401604,0.5072,0.202370205316889,0.4577,0.181965839284924,0.416090909090909,0.22100880278643,3.33333333333333,3.51188458428425,3.2,2.86356421265527,3.5,2.27303028283098,3.18181818181818,2.40075745622842,3.66666666666667,3.05505046330389,3.8,2.58843582110896,4.4,2.87518115371304,4.18181818181818,2.82199155980955,0.666666666666667,0.577350269189626,0.6666,0.424885631670453,0.7625,0.327505809956947,0.693181818181818,0.38650894379867,7.33333333333333,1.52752523165195,7,1.58113883008419,6.4,1.89736659610103,6.54545454545455,1.86352549559357,3.66666666666667,2.08166599946613,4.4,2.07364413533277,4.2,1.75119007154183,4.18181818181818,1.66241882918727,0.666666666666667,0.577350269189626,0.8,0.447213595499958,0.9,0.567646212197547,0.818181818181818,0.603022689155527,0,0,0.2,0.447213595499958,0.3,0.483045891539648,0.272727272727273,0.467099366496914,4.66666666666667,0.577350269189626,4.4,1.51657508881031,4.2,1.3984117975602,4.18181818181818,1.32801971507819,2.66666666666667,0.577350269189626,2,1.22474487139159,2,1.05409255338946,2.09090909090909,1.04446593573419,14.4666666666667,0.702376916856849,16.08,4.56146906160724,14.74,4.06999863499841,13.4727272727273,5.70737959296399,-4.66666666666667,13.7961347243833,-4.4,11.6533257055658,-1.9,9.57369080112553,-3.36363636363636,10.298278761742,2068.66666666667,63.3192966901349,2057.8,254.376099506223,2098.4,179.733877348336,2081,180.011666288605
