Date,Tm,Opp,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,Season,Rest
2024-03-17,DAL,8,1,40:08,12,27,.444,5,11,.455,8,10,.800,10,3,2,0,3,3,37,26.6,-1,2024,4.0
2024-03-19,DAL,27,1,40:26,6,27,.222,2,12,.167,4,5,.800,10,16,1,0,4,0,18,12.3,+5,2024,2.0
2024-03-21,DAL,29,1,34:40,11,23,.478,4,10,.400,8,12,.667,9,8,4,0,4,2,34,28.6,-3,2024,2.0
2024-03-25,DAL,29,1,41:11,10,24,.417,2,11,.182,7,8,.875,12,13,1,1,4,3,29,25.8,+10,2024,4.0
2024-03-26,DAL,26,1,31:41,10,18,.556,4,8,.500,4,5,.800,11,6,2,0,4,4,28,23.3,+18,2024,1.0
2024-03-29,DAL,26,1,40:52,6,14,.429,4,8,.500,10,14,.714,9,12,2,0,5,2,26,24.3,+6,2024,3.0
2024-03-31,DAL,11,1,35:12,18,30,.600,9,16,.563,2,5,.400,12,7,2,0,4,1,47,38.1,+12,2024,2.0
2024-04-02,DAL,10,1,39:12,11,22,.500,5,11,.455,3,4,.750,12,11,0,0,5,1,30,24.9,+9,2024,2.0
2024-04-04,DAL,1,1,37:02,8,25,.320,6,15,.400,3,3,1.000,12,8,2,1,5,3,25,16.4,+21,2024,2.0
2024-04-07,DAL,11,1,45:25,12,21,.571,4,10,.400,9,9,1.000,9,12,0,2,7,5,37,31.4,+20,2024,3.0
2024-04-09,DAL,5,1,34:45,13,25,.520,8,17,.471,5,7,.714,12,10,0,1,4,2,39,33.2,+22,2024,2.0
2024-04-10,DAL,16,1,35:59,9,23,.391,4,15,.267,7,8,.875,9,9,0,0,3,4,29,20.9,+7,2024,1.0
2024-10-24,DAL,27,1,36:16,9,25,.360,4,11,.364,6,8,.750,10,8,1,1,4,3,28,18.8,+6,2025,197.0
2024-10-26,DAL,24,1,39:24,12,25,.480,5,13,.385,11,12,.917,10,4,0,1,2,4,40,30.2,-12,2025,2.0
2024-10-28,DAL,29,1,33:12,5,22,.227,1,9,.111,4,6,.667,9,8,2,1,2,5,15,7.8,+5,2025,2.0
2024-10-29,DAL,18,1,40:09,10,27,.370,1,8,.125,3,4,.750,8,8,1,0,3,2,24,14.3,+3,2025,1.0
2024-10-31,DAL,11,1,37:31,12,25,.480,3,7,.429,2,4,.500,5,2,1,0,1,5,29,16.4,-2,2025,2.0
2024-11-03,DAL,22,1,31:43,11,22,.500,5,13,.385,5,7,.714,9,7,0,0,4,3,32,23.0,+21,2025,3.0
2024-11-04,DAL,12,1,42:21,9,24,.375,4,10,.400,12,15,.800,7,15,2,0,2,3,34,31.0,-3,2025,1.0
2024-11-06,DAL,4,1,32:19,8,19,.421,3,8,.375,8,9,.889,7,13,4,0,5,3,27,25.5,+35,2025,2.0
2024-11-08,DAL,24,1,42:11,11,25,.440,5,12,.417,3,3,1.000,7,7,1,0,3,3,30,20.7,-4,2025,2.0
